initial_MPA,Ocean,Cote Bleue,Cerbere-Banyuls,Cape de Creus,Columbretes,Cala Ratjada,Menorca,Tabarca,Cabo de Palos,Cabo de Gata,Coast
Cote Bleue,0.7252888126341894,0.13489800572472857,0.00036224060145725987,0.002732546483785948,,,0.0001665778512580694,,,,0.13655181670458072
Cerbere-Banyuls,0.2525566593341829,,0.03310212668021467,0.3094226849251803,,,3.5172842877637553e-06,,,,0.4049150117761343
Cape de Creus,0.37684113195067975,,0.0037268184694263175,0.20941132459768658,,,3.190099377004431e-06,,,,0.4100175348828303
Columbretes,0.8955568356846166,,,,0.062114041616572094,1.3488535781300631e-05,0.000197503527644904,,,,0.0421181306353851
Cala Ratjada,0.5549101380867424,,,,,0.19616146522496078,0.004412335833651802,,,,0.244516060854645
Menorca,0.7046752558325297,,,,,0.0008288391344780676,0.06378807300949063,,,,0.23070783202350167
Tabarca,0.3635408996294884,,,,0.0005018730583601682,7.58880161324201e-05,0.0004647717310213796,0.04214885866924897,0.0002436153751210439,1.3417440708458073e-06,0.5930227517765568
Cabo de Palos,0.5608994028910376,,,,0.0006723853612331442,0.00030819495661460743,0.0005441683448812734,0.010787370129772643,0.01078151966008739,0.0005053749843611932,0.4155015836720122
Cabo de Gata,0.43777271822167885,,,,5.169287672707476e-07,,2.9485980839371026e-07,0.00018925194365451074,0.0002392913876083845,0.27618482603366984,0.28561310062481277
