distance_bin,"Comber, stokes, surface, noslip","Comber, no stokes, surface, noslip","Comber, no stokes, all depths, noslip"
15.0,0.2190193279754744,0.12630211823779208,0.10901339668179741
45.0,0.13644018681386244,0.1144346941311944,0.11253339404525173
75.0,0.075641119697842,0.0701268182521315,0.08418529568380143
105.0,0.05146985083152444,0.06356722180748674,0.07993197943753537
135.0,0.03999671274229462,0.06109232342606143,0.07186707218255542
165.0,0.036335472878151615,0.05454089613578062,0.05875468587875263
195.0,0.03358623473612203,0.05141951278167312,0.053601477615394515
225.0,0.03491663701391938,0.05874521585889179,0.0563318814538507
255.0,0.035135809388254106,0.07456707398423298,0.061519808973832905
285.0,0.0430953738255394,0.06678435519372931,0.05915610356069827
315.0,0.049662072842070866,0.05749318113746658,0.054136770898995545
345.0,0.049079289969435516,0.048388512332536444,0.04627602573463539
375.0,0.04513807113892277,0.040412632569491534,0.03862288654231424
405.0,0.038413834615552325,0.03303710224413996,0.03211134629271351
435.0,0.03031615463795006,0.02355309601231542,0.02410767098342999
465.0,0.024167467543455265,0.015857522927110082,0.017157145249606917
495.0,0.017704220374865135,0.010585340725927254,0.012100530667675795
525.0,0.013069343921112966,0.007472087844186129,0.008699181607092184
555.0,0.008399237827236332,0.005637163771725308,0.005959524981579767
585.0,0.005198186351699305,0.004615236165780056,0.0043569040652470786
615.0,0.0035059151401331317,0.003476718601503438,0.0035984051993175926
645.0,0.0026908337917267203,0.003094774975022067,0.0028341173730102513
675.0,0.0021230254593125057,0.002775863663597521,0.0016715329956187542
705.0,0.0018210911208326522,0.001420344928146062,0.000844731891812814
735.0,0.0011949877413288644,0.0004390793545320737,0.00046837633463520513
765.0,0.0007103858727938336,0.00012087882481306247,0.00013420076982027855
795.0,0.0005333268120607322,3.360498539773932e-05,2.2685616916101835e-05
825.0,0.0004427314509629448,5.422732535764698e-06,2.634587417735597e-06
855.0,0.00016333300610380235,1.0734254328486517e-06,2.121450295079593e-07
885.0,2.1265547386217202e-05,1.3296936668170237e-07,2.0549660977978963e-08
915.0,5.112961421814644e-06,0.0,0.0
945.0,2.9074654735924603e-06,0.0,0.0
975.0,4.785051781935795e-07,0.0,0.0
1005.0,0.0,0.0,0.0
1035.0,0.0,0.0,0.0
1065.0,0.0,0.0,0.0
1095.0,0.0,0.0,0.0
1125.0,0.0,0.0,0.0
1155.0,0.0,0.0,0.0
1185.0,0.0,0.0,0.0
