distance_bin,"Striped red mullet, stokes, surface, no land contact","Striped red mullet, no stokes, surface, no land contact","Striped red mullet, no stokes, all depths, no land contact"
15.0,0.0,0.0,0.0
45.0,0.0,0.0,0.0009832726469232544
75.0,0.0,0.0008212034080928452,0.015626417596190833
105.0,5.947589365966813e-06,0.022290056615012224,0.05360602365389658
135.0,0.0006949698606596198,0.042036842202607574,0.0634219269522317
165.0,0.009656731534796972,0.03791427411568091,0.05242625599492466
195.0,0.032435192353654475,0.04009982438818037,0.048302881903569246
225.0,0.04135863835577472,0.039071501706322787,0.04857609562360698
255.0,0.044551384972705235,0.06097800916045884,0.05718565443947488
285.0,0.04901843697718032,0.08379057970395916,0.06768693847346528
315.0,0.0612624890212449,0.09841695642854026,0.07926301352631816
345.0,0.07593340496100434,0.09868613619851392,0.08324354440860586
375.0,0.08842611939313694,0.09413068592468657,0.07905615660112277
405.0,0.09486443528509572,0.08815321502891928,0.07038361529230934
435.0,0.09375961328389044,0.075796347198273,0.06012019067316638
465.0,0.08771798052489813,0.05734812517902636,0.048754571084738296
495.0,0.07834967499952346,0.04349449025622348,0.03991875680029923
525.0,0.06394696876388382,0.03247564292990513,0.03158363493925934
555.0,0.049685776665361676,0.021970168517159026,0.024409431373869642
585.0,0.038611896791637526,0.016083461615799467,0.019020798804812333
615.0,0.027765830668373414,0.01222039876165924,0.015423468040084074
645.0,0.019306709027432593,0.008935697761767367,0.01181392372579217
675.0,0.012547562386455113,0.006864439815842339,0.009121127421266379
705.0,0.007852852423537279,0.005595789062840861,0.006951683595376811
735.0,0.005471360661819152,0.004395684065657859,0.004718095807723282
765.0,0.0041732282598654835,0.003167687709733533,0.0032130967385096227
795.0,0.003195761650676907,0.0023241356464962053,0.002271263687742183
825.0,0.002826782004079185,0.001397063635691075,0.0015701661977286666
855.0,0.0022868526933323948,0.0007353656026572729,0.0007851153245887756
885.0,0.0016520277155831606,0.0003321472540438617,0.00037084960866691524
915.0,0.001103685635902692,0.0001623330430972177,0.00013882976363612732
945.0,0.0006618411463946428,0.0001527652103642748,4.07440576032676e-05
975.0,0.00048579616685654966,0.00011607073414561506,1.0092022704526736e-05
1005.0,0.0003076067560216364,3.92968792978183e-05,1.5750322821194602e-06
1035.0,6.825523204579479e-05,2.4719865239387888e-06,7.170223688421071e-07
1065.0,7.752943919272609e-06,1.1322528203172868e-06,7.116514147683835e-08
1095.0,3.821486541769123e-06,0.0,0.0
1125.0,1.7228764265050242e-06,0.0,0.0
1155.0,8.889309221861029e-07,0.0,0.0
1185.0,0.0,0.0,0.0
