distance_bin,"White seabream, stokes, surface, no land contact","White seabream, no stokes, surface, no land contact","White seabream, no stokes, all depths, no land contact"
15.0,0.0,0.0,0.0
45.0,0.0,0.0,0.001336776759409079
75.0,0.0,0.0005713134322412488,0.02169919826694351
105.0,3.803158069146729e-06,0.034794069888097856,0.0671199067108245
135.0,0.0009501251101541204,0.046942564667641705,0.06695307816360205
165.0,0.013186602912907497,0.03738165290416327,0.05207352462845619
195.0,0.05039878632519989,0.042432078465239005,0.05193362805906718
225.0,0.043854421890647935,0.04284195695020648,0.053857292326958336
255.0,0.046312499175218735,0.07629125431323117,0.06485169238225767
285.0,0.0463991470295411,0.10478755320995453,0.07874895548370651
315.0,0.08030961647304469,0.11180661667207302,0.09039155584508579
345.0,0.0919476696446769,0.10319853122504301,0.0857812195030514
375.0,0.09238310833300342,0.09191597273203239,0.07658295376800894
405.0,0.10852485670800104,0.08349645776779972,0.06578157908842663
435.0,0.10891012120252376,0.06839835547095079,0.05425196010283444
465.0,0.0941793215605888,0.0486782756370493,0.044196426317546056
495.0,0.06535889807023178,0.03371294628545196,0.03422985567279632
525.0,0.04820933571750105,0.021518035068300335,0.0247442875338115
555.0,0.03750415598116713,0.012688715719415659,0.018715579569449282
585.0,0.02364576872546734,0.009847754084646509,0.013280100196222435
615.0,0.014581422590062449,0.008169307839030877,0.010812438844974178
645.0,0.010862277657298618,0.005967283584397058,0.007831921873457529
675.0,0.006075132624827896,0.004255314356064702,0.005875931175735147
705.0,0.0038122764842763697,0.004315646832916949,0.003896036375538398
735.0,0.003060121789034881,0.00347577903736458,0.00273157996389215
765.0,0.0024795215975389993,0.0015139583653446696,0.0015413866116938775
795.0,0.0020482755473248495,0.0006697186511798193,0.0005944874084963982
825.0,0.0021327010743417514,0.0002584619003446791,0.0001704338001444357
855.0,0.001520048966347458,5.933953262500546e-05,1.3870488895391325e-05
885.0,0.0009102606822004138,5.824284795611174e-06,1.1581119721466618e-06
915.0,0.0003774061618858679,4.149617666084297e-06,8.794937295722475e-07
945.0,4.841007831389782e-05,1.1115047319868654e-06,3.0547301294303255e-07
975.0,1.1776043659888065e-05,0.0,0.0
1005.0,2.0390425792413187e-06,0.0,0.0
1035.0,9.164236311196938e-08,0.0,0.0
1065.0,0.0,0.0,0.0
1095.0,0.0,0.0,0.0
1125.0,0.0,0.0,0.0
1155.0,0.0,0.0,0.0
1185.0,0.0,0.0,0.0
