distance_bin,"White seabream, stokes, surface, noslip","White seabream, no stokes, surface, noslip","White seabream, no stokes, all depths, noslip"
15.0,0.21468705503876348,0.12069408865871295,0.10481384560147126
45.0,0.13447044393019145,0.11111857290873807,0.10400171680450315
75.0,0.07368184866924456,0.060449496319775406,0.06756754775707365
105.0,0.04996370598947409,0.05423053294141507,0.06715062868013
135.0,0.03557296758981926,0.05247653523432916,0.06917716462416575
165.0,0.02823134947612573,0.04627973301414496,0.05363458296812959
195.0,0.028866906976339285,0.04189186177286016,0.04754450916346614
225.0,0.02727369665974044,0.0416539402894628,0.04743241907335593
255.0,0.028801306223921224,0.059977664192604786,0.04963297891478101
285.0,0.033158168740182625,0.06973400196229905,0.056065638535215526
315.0,0.03906261901905447,0.06371770021772936,0.05719792984141696
345.0,0.04261558858527015,0.05318411419134569,0.051759589441272805
375.0,0.04087596782894554,0.04675592714094896,0.04628891399847934
405.0,0.041459888062239214,0.04340606373288471,0.04084818636235143
435.0,0.0394565423346016,0.03631539005533808,0.03383287721789348
465.0,0.03632952071094774,0.026906353765667322,0.026126521958661778
495.0,0.028324838943415486,0.019290425100260838,0.019676664085194077
525.0,0.022899321339749208,0.013815722091934808,0.015432593222062287
555.0,0.017656442725854638,0.008756119830484656,0.011871469640772198
585.0,0.011356339104465268,0.006768744565904627,0.008287393901375088
615.0,0.00682581928636447,0.005912476845439774,0.006739541609059923
645.0,0.004914398775586376,0.004991032981083459,0.0053252454920523
675.0,0.0032066836272219837,0.00479593609544458,0.0038990322337823817
705.0,0.0027469937827166377,0.0034819334183022093,0.0025438997995339474
735.0,0.002367701309508847,0.0020816934583984207,0.0017839316328445358
765.0,0.0017272767801033875,0.0007630707001700731,0.0009201900958235043
795.0,0.00122435751474068,0.00035385082573880004,0.00033687316111963143
825.0,0.001010505777933024,0.00014779182462943904,9.031727100270122e-05
855.0,0.000697421904457216,3.9841853101323355e-05,1.4977076442185844e-05
885.0,0.0003532953111661365,6.210878236459879e-06,1.8964617274603969e-06
915.0,0.0001504060794116895,2.733124891521173e-06,7.499115252478647e-07
945.0,2.1210895779570727e-05,4.400077224739969e-07,1.7346331472588127e-07
975.0,8.348336535285953e-06,0.0,0.0
1005.0,1.0456674071692182e-06,0.0,0.0
1035.0,1.7002722067792164e-08,0.0,0.0
1065.0,0.0,0.0,0.0
1095.0,0.0,0.0,0.0
1125.0,0.0,0.0,0.0
1155.0,0.0,0.0,0.0
1185.0,0.0,0.0,0.0
